code,formation,start_time,location,operation_line,url
11K,233H005,08:09,<br/>,└東神奈2318→0014八王子,https://loo-ool.com/rail/H/22/20250909/?U=11K
05K,233H018,08:26,<br/>,┌東神奈0759←0714橋　本,https://loo-ool.com/rail/H/23/20250909/?U=05K
05K,233H018,08:26,<br/>,└東神奈0808→0905八王子┐,https://loo-ool.com/rail/H/23/20250909/?U=05K
05K,233H018,08:26,<br/>,┌東神奈1012←0914八王子┘,https://loo-ool.com/rail/H/23/20250909/?U=05K
05K,233H018,08:26,<br/>,└東神奈1020→1122八王子┐,https://loo-ool.com/rail/H/23/20250909/?U=05K
05K,233H018,08:26,<br/>,┌桜木町1225←1129八王子┘,https://loo-ool.com/rail/H/23/20250909/?U=05K
05K,233H018,08:26,<br/>,└桜木町1232→1342八王子┐,https://loo-ool.com/rail/H/23/20250909/?U=05K
05K,233H018,08:26,<br/>,┌桜木町1445←1349八王子┘,https://loo-ool.com/rail/H/23/20250909/?U=05K
05K,233H018,08:26,<br/>,└桜木町1452→1602八王子┐,https://loo-ool.com/rail/H/23/20250909/?U=05K
05K,233H018,08:26,<br/>,┌東神奈1715←1616八王子┘,https://loo-ool.com/rail/H/23/20250909/?U=05K
05K,233H018,08:26,<br/>,└東神奈1727→1812橋　本┐,https://loo-ool.com/rail/H/23/20250909/?U=05K
05K,233H018,08:26,<br/>,┌磯　子1922←1818橋　本┘,https://loo-ool.com/rail/H/23/20250909/?U=05K
05K,233H018,08:26,<br/>,└磯　子1932→2050八王子┐,https://loo-ool.com/rail/H/23/20250909/?U=05K
05K,233H018,08:26,<br/>,┌東神奈2154←2057八王子┘,https://loo-ool.com/rail/H/23/20250909/?U=05K
05K,233H018,08:26,<br/>,└東神奈2201→2256八王子┐,https://loo-ool.com/rail/H/23/20250909/?U=05K
05K,233H018,08:26,<br/>,┌東神奈2358←2303八王子┘,https://loo-ool.com/rail/H/23/20250909/?U=05K
05K,233H018,08:26,<br/>,└東神奈0004→0048橋　本,https://loo-ool.com/rail/H/23/20250909/?U=05K
49K,233H014,11:30,<br/>,┌桜木町0708←0614橋　本,https://loo-ool.com/rail/H/22/20250909/?U=49K
49K,233H014,11:30,<br/>,└桜木町0715→0823八王子┐,https://loo-ool.com/rail/H/22/20250909/?U=49K
49K,233H014,11:30,<br/>,┌桜木町0931←0828八王子┘,https://loo-ool.com/rail/H/22/20250909/?U=49K
49K,233H014,11:30,<br/>,└桜木町0941→1036橋　本┐,https://loo-ool.com/rail/H/22/20250909/?U=49K
49K,233H014,11:30,<br/>,┌桜木町1136←1045橋　本┘,https://loo-ool.com/rail/H/22/20250909/?U=49K
49K,233H014,11:30,<br/>,└桜木町1141→1235八王子┐,https://loo-ool.com/rail/H/22/20250909/?U=49K
